"Sample","ID","Timestamp","Berlin","Paris","London","Barcelona","Madrid","Rome","Stockholm","Amsterdam","Prague","Budapest","Lisbon","Brussels","Vienna","StPetersburg","Krakow","Riga","Istanbul","Geneva","Athens","Dublin","Purpose1","Purpose2","Purpose3","Purpose4","Purpose5","Purpose_Other","With_Whom_1","With_Whom_2","With_Whom_3","With_Whom_4","With_Whom_5","Number_of_Trips","Avg_Budget","Age","Gender","Nationality","CurrentCity","Occupation","PartnershipStatus","id_unique"
1,1,"12/20/2015 21:04",1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,"",1,1,1,0,0,4,2,22,"Male","Belgian","Mechelen","Master student","in a relationship.",1
1,2,"12/20/2015 22:26",0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,"",1,1,0,0,0,2,2,23,"Female","British","Paris","PhD student","single",2
1,3,"12/21/2015 8:38",1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"",0,1,1,0,0,3,2,26,"Male","German","Berlin","Master student","in a relationship.",3
1,4,"12/22/2015 6:10",1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,"",1,1,0,0,0,3,1,21,"Male","Taiwaneseese","Taipei","Bachelor student","in a relationship.",4
1,6,"12/22/2015 11:42",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,"",0,1,1,0,0,3,3,23,"Female","Bulgarian","Sofia","Bachelor student","in a relationship.",6
1,7,"12/22/2015 15:34",1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,"",0,1,1,0,0,4,2,21,"Female","Spanish","Berlin","Bachelor student","in a relationship.",7
1,8,"12/22/2015 18:22",1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",1,0,0,0,0,2,2,56,"Female","German","Eckernfîrde","Unemployed","married.",8
1,9,"12/22/2015 23:49",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,"hiphop",0,1,0,0,1,3,3,21,"Male","Russian","Berlin","Bachelor student","single",9
1,10,"12/23/2015 9:57",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"",1,1,0,0,0,2,2,20,"Female","Russian","Ekaterinburg","Master student","in a relationship.",10
1,11,"12/23/2015 15:13",0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,"",0,1,1,0,0,4,2,25,"Female","Greek","Stockholm","Employed","in a relationship.",11
1,12,"12/23/2015 16:03",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,"",1,1,1,0,0,5,2,25,"Male","German","Berlin","Master student","single",12
1,13,"12/23/2015 21:18",1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,"visiting sport events",1,0,1,0,0,1,2,22,"Male","Russian","St.Petersburg","Master student","in a relationship.",13
1,14,"12/23/2015 21:58",1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,"",1,0,1,0,0,4,1,27,"Female","Russian","Kaliningrad","Employed","in a relationship.",14
1,15,"12/24/2015 12:24",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,"",0,1,0,0,0,2,2,21,"Female","British","Cambridge","Bachelor student","single",15
1,16,"12/24/2015 12:24",1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,"",1,1,1,0,1,3,1,20,"Female","Russian","Berlin","Bachelor student","in a relationship.",16
1,17,"12/24/2015 14:43",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,"",1,1,0,0,0,1,1,22,"Female","Russian","Berlin","Bachelor student","in a relationship.",17
1,18,"12/24/2015 14:44",1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,"",0,1,1,0,1,2,2,27,"Male","Spanish","Berlin","Employed","single",18
1,19,"12/24/2015 16:21",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,"",0,1,0,0,1,4,1,21,"Male","Japanese","Berlin","Bachelor student","single",19
1,20,"12/24/2015 21:41",1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,"",0,1,1,0,1,4,1,27,"Female","Russian","Kassel","Master student","single",20
1,21,"12/24/2015 22:04",1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,"",0,1,1,0,1,3,2,26,"Female","Russian","Berlin","Master student","married.",21
1,22,"12/24/2015 23:10",1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,"",1,0,0,0,0,3,4,47,"Male","Latvian","Riga","Employed","married.",22
1,23,"12/25/2015 10:58",1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,"",0,1,0,0,0,3,1,26,"Female","Russian","Berlin","Master student","in a relationship.",23
1,24,"12/25/2015 14:16",1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"",0,0,0,0,1,5,2,27,"Female","Russian","Stockholm","PhD student","in a relationship.",24
1,25,"12/26/2015 12:36",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,"",1,0,0,0,0,3,1,27,"Male","Russian","Sochi","Employed","married.",25
1,26,"12/28/2015 12:14",1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,"",1,1,1,1,0,2,2,28,"Female","German","Munich","PhD student","in a relationship.",26
1,27,"12/28/2015 16:36",1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,"",0,1,1,0,0,3,3,25,"Male","German","Munich","Master student","in a relationship.",27
1,28,"12/30/2015 17:18",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,"",1,1,1,0,0,3,2,18,"Male","German","Reisbach a.d.","Going to be a Me","single",28
1,29,"2/1/2016 14:09",1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,"",0,1,0,0,1,3,1,24,"Female","Korean","Berlin","Master student","single",29
1,30,"3/1/2016 10:40",1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,"",1,1,1,1,0,2,2,21,"Male","French","Paris","Bachelor student","single",30
